;Title, http://www.gcdataconcepts.com, HAM-IMU, MPU-9250,,,,,,,,,,,,
;Version,1191, Build date, Nov 15 2016,  SN:CCDC30163044EA8,,,,,,,,,,,
;Start_time, 2017-11-29, 14:16:23.595,2017-11-29 14:16:23.595,,,,,,,,,,,,
;Temperature,-999, deg C,  Vbat,3796, mv,,,,,,,,,,
;MPU SR,200,Hz,  Accel sens,2048,counts/g, Gyro sens,16,counts/dps,  Mag SR,10,Hz,  Mag sens,1666,counts/mT,
;Deadband,0, counts,,,,,,,,,,,,,
;DeadbandTimeout,5,sec,,,,,,,,,,,,,
;Time, Ax, Ay, Az, Gx, Gy, Gz, Qw, Qx, Qy, Qz, Mx, My, Mz, T,Date Time
0.003082,-46,245,-2050,6,19,-19,15316.867,584.722,4787.776,-3250.278,385,-254,-190,26394,2017-11-29 14:16:23.598
0.003418,-50,237,-2100,7,14,-21,15318.662,586.214,4778.675,-3254.943,,,,,2017-11-29 14:16:23.598
0.014252,-57,235,-2080,7,18,-23,15320.403,587.912,4769.729,-3259.561,383,-261,-195,,2017-11-29 14:16:23.609
0.014588,-75,231,-2075,8,19,-20,15322.067,589.566,4761.05,-3264.127,,,,,2017-11-29 14:16:23.610
0.033936,-60,239,-2116,7,20,-20,15323.785,591.202,4752.215,-3268.633,387,-264,-191,,2017-11-29 14:16:23.629
0.034271,-59,254,-2050,9,17,-20,15325.606,593.017,4743.093,-3273.017,,,,,2017-11-29 14:16:23.629
0.053833,-73,235,-2108,8,20,-20,15327.425,594.488,4734.047,-3277.326,387,-264,-191,,2017-11-29 14:16:23.649
0.054199,-68,250,-2062,8,19,-18,15329.197,595.961,4725.102,-3281.674,,,,,2017-11-29 14:16:23.649
0.073822,-43,238,-2094,9,17,-19,15330.97,597.681,4716.09,-3286.041,387,-264,-191,,2017-11-29 14:16:23.669
0.074188,-47,240,-2090,7,18,-19,15332.684,599.277,4707.143,-3290.577,,,,,2017-11-29 14:16:23.669
0.093811,-65,258,-2107,8,20,-20,15334.401,600.821,4698.187,-3295.091,,,,,2017-11-29 14:16:23.689
0.094177,-73,256,-2061,8,17,-20,15336.175,602.321,4689.068,-3299.547,,,,,2017-11-29 14:16:23.689
0.114197,-62,250,-2072,7,19,-20,15337.944,603.739,4680.034,-3303.892,,,,,2017-11-29 14:16:23.709
0.114563,-50,238,-2061,8,17,-20,15339.672,605.144,4671.074,-3308.286,,,,,2017-11-29 14:16:23.710
0.13382,-58,233,-2099,7,17,-21,15341.412,606.534,4662.129,-3312.579,,,,,2017-11-29 14:16:23.729
0.134186,-69,234,-2065,6,19,-19,15343.095,608.092,4653.21,-3317.035,,,,,2017-11-29 14:16:23.729
0.153809,-55,243,-2076,7,18,-21,15344.746,609.596,4644.411,-3321.454,,,,,2017-11-29 14:16:23.749
0.154144,-53,250,-2071,8,18,-18,15346.298,611.191,4635.79,-3326.028,,,,,2017-11-29 14:16:23.749
0.173798,-76,230,-2097,8,20,-20,15347.935,612.833,4627.131,-3330.228,383,-263,-183,,2017-11-29 14:16:23.769
0.174164,-58,230,-2064,7,19,-19,15349.651,614.323,4618.235,-3334.391,,,,,2017-11-29 14:16:23.769
0.193756,-69,258,-2079,7,17,-17,15351.246,616.03,4609.565,-3338.725,,,,,2017-11-29 14:16:23.789
0.194092,-53,232,-2071,7,19,-20,15352.847,617.409,4600.787,-3343.216,,,,,2017-11-29 14:16:23.789
0.194458,-69,241,-2088,9,18,-21,15354.47,618.896,4592.111,-3347.412,,,,,2017-11-29 14:16:23.789
0.214142,-69,228,-2085,7,18,-17,15356.083,620.769,4583.295,-3351.744,,,,,2017-11-29 14:16:23.809
0.233765,-76,232,-2077,8,19,-16,15357.707,622.35,4574.388,-3356.175,,,,,2017-11-29 14:16:23.829
0.253754,-71,239,-2095,8,18,-20,15359.235,623.911,4565.752,-3360.653,383,-263,-183,26462,2017-11-29 14:16:23.849
0.273743,-57,258,-2079,9,20,-20,15360.884,625.282,4556.767,-3365.051,378,-258,-190,,2017-11-29 14:16:23.869
0.293732,-69,231,-2071,6,18,-20,15362.505,626.751,4547.926,-3369.335,,,,,2017-11-29 14:16:23.889
0.314118,-73,224,-2087,7,17,-20,15364.01,628.641,4539.389,-3373.629,,,,,2017-11-29 14:16:23.909
0.33374,-44,231,-2084,8,19,-19,15365.541,630.321,4530.705,-3378.013,,,,,2017-11-29 14:16:23.929
0.353729,-46,242,-2066,9,19,-17,15367.114,631.848,4521.765,-3382.549,,,,,2017-11-29 14:16:23.949
0.373718,-55,260,-2056,6,19,-23,15368.677,633.365,4512.957,-3386.926,384,-257,-203,,2017-11-29 14:16:23.969
0.393707,-69,246,-2083,8,19,-20,15370.117,634.826,4504.462,-3391.425,,,,,2017-11-29 14:16:23.989
0.414093,-59,239,-2117,9,18,-22,15371.641,636.544,4495.852,-3395.615,,,,,2017-11-29 14:16:24.009
0.433716,-61,248,-2085,7,19,-19,15373.204,638.091,4487.119,-3399.8,,,,,2017-11-29 14:16:24.029
0.453705,-56,230,-2107,6,18,-20,15374.721,639.579,4478.402,-3404.15,,,,,2017-11-29 14:16:24.049
0.473694,-47,235,-2088,7,17,-18,15376.362,641.016,4469.478,-3408.196,390,-263,-190,,2017-11-29 14:16:24.069
0.493683,-52,241,-2090,7,18,-18,15377.91,642.464,4460.762,-3412.354,,,,,2017-11-29 14:16:24.089
0.514069,-73,250,-2108,8,18,-20,15379.413,644.119,4452.123,-3416.547,,,,,2017-11-29 14:16:24.109
0.533692,-60,223,-2104,7,19,-20,15380.937,645.605,4443.409,-3420.748,,,,,2017-11-29 14:16:24.129
0.553681,-66,230,-2097,6,17,-18,15382.473,646.964,4434.664,-3424.932,,,,,2017-11-29 14:16:24.149
0.57367,-64,246,-2100,7,16,-19,15383.953,648.625,4426.05,-3429.109,371,-244,-188,,2017-11-29 14:16:24.169
0.593659,-63,235,-2066,7,18,-19,15385.394,650.247,4417.49,-3433.373,,,,,2017-11-29 14:16:24.189
0.614044,-60,251,-2091,7,19,-18,15386.782,651.743,4408.903,-3437.906,,,,,2017-11-29 14:16:24.209
0.633667,-87,250,-2084,8,18,-19,15388.218,653.238,4400.212,-3442.323,,,,,2017-11-29 14:16:24.229
0.653656,-63,248,-2075,8,19,-18,15389.649,654.77,4391.542,-3446.706,,,,,2017-11-29 14:16:24.249
0.673645,-69,233,-2088,6,16,-20,15391.044,656.12,4382.972,-3451.126,384,-255,-184,,2017-11-29 14:16:24.269
0.693634,-72,235,-2093,7,17,-21,15392.436,657.75,4374.345,-3455.55,,,,,2017-11-29 14:16:24.289
0.71402,-60,229,-2077,7,19,-18,15393.87,659.191,4365.601,-3459.942,,,,,2017-11-29 14:16:24.309
0.733612,-73,234,-2079,6,17,-19,15395.28,660.688,4356.962,-3464.268,,,,,2017-11-29 14:16:24.329
0.753632,-63,234,-2076,7,16,-19,15396.627,662.181,4348.486,-3468.645,384,-255,-184,26494,2017-11-29 14:16:24.349
0.773621,-68,251,-2084,8,18,-21,15397.993,663.57,4339.874,-3473.098,388,-256,-197,,2017-11-29 14:16:24.369
0.79364,-71,244,-2112,7,19,-21,15399.402,664.929,4331.366,-3477.209,,,,,2017-11-29 14:16:24.389
0.813996,-39,243,-2089,7,18,-18,15400.806,666.512,4322.986,-3481.116,,,,,2017-11-29 14:16:24.409
0.833618,-53,256,-2081,7,18,-17,15402.14,667.776,4314.577,-3485.399,,,,,2017-11-29 14:16:24.429
0.853607,-52,231,-2091,7,17,-21,15403.543,669.369,4305.873,-3489.655,,,,,2017-11-29 14:16:24.449
0.873596,-54,243,-2086,6,19,-19,15404.859,670.859,4297.307,-3494.116,374,-263,-197,,2017-11-29 14:16:24.469
0.893585,-52,240,-2083,7,19,-20,15406.071,672.314,4288.981,-3498.72,,,,,2017-11-29 14:16:24.489
0.913971,-70,231,-2098,9,20,-20,15407.394,673.727,4280.541,-3502.955,,,,,2017-11-29 14:16:24.509
0.933594,-56,250,-2091,6,16,-18,15408.727,675.13,4272.106,-3507.117,,,,,2017-11-29 14:16:24.529
0.953583,-57,243,-2071,7,18,-17,15409.963,676.728,4263.706,-3511.6,,,,,2017-11-29 14:16:24.549
0.973572,-58,239,-2090,7,19,-20,15411.276,678.235,4255.26,-3515.788,382,-248,-194,,2017-11-29 14:16:24.569
0.993561,-54,222,-2085,8,18,-17,15412.637,679.823,4246.669,-3519.9,,,,,2017-11-29 14:16:24.589
1.013947,-60,220,-2106,8,18,-18,15413.952,681.346,4238.177,-3524.08,,,,,2017-11-29 14:16:24.609
1.03357,-59,234,-2062,8,18,-17,15415.287,682.849,4229.754,-3528.066,,,,,2017-11-29 14:16:24.629
1.053559,-56,243,-2096,6,17,-16,15416.794,684.321,4220.869,-3531.837,,,,,2017-11-29 14:16:24.649
1.073578,-57,265,-2098,4,19,-18,15418.191,685.879,4212.218,-3535.762,384,-257,-203,,2017-11-29 14:16:24.669
1.093567,-45,259,-2079,5,18,-17,15419.675,687.349,4203.415,-3539.479,,,,,2017-11-29 14:16:24.689
1.113922,-26,258,-2101,6,19,-14,15421.04,688.763,4194.846,-3543.42,,,,,2017-11-29 14:16:24.709
1.133545,-59,217,-2101,6,19,-16,15422.288,690.173,4186.567,-3547.502,,,,,2017-11-29 14:16:24.729
1.153534,-63,237,-2099,8,18,-18,15423.367,691.624,4178.543,-3551.989,,,,,2017-11-29 14:16:24.749
1.173523,-70,247,-2081,8,19,-21,15424.425,693.141,4170.48,-3556.571,391,-252,-198,,2017-11-29 14:16:24.769
1.193512,-63,251,-2086,11,17,-22,15425.494,694.662,4162.361,-3561.147,,,,,2017-11-29 14:16:24.789
1.213898,-63,252,-2098,11,20,-20,15426.547,696.036,4154.475,-3565.521,,,,,2017-11-29 14:16:24.809
1.233521,-50,214,-2100,11,17,-20,15427.656,697.617,4146.501,-3569.695,,,,,2017-11-29 14:16:24.829
1.253571,-75,215,-2083,9,18,-19,15428.693,699.174,4138.682,-3573.981,391,-252,-198,26478,2017-11-29 14:16:24.849
1.273499,-60,249,-2064,11,18,-20,15429.905,700.491,4130.406,-3578.059,383,-261,-192,,2017-11-29 14:16:24.868
1.293518,-69,251,-2099,6,17,-19,15431.148,701.795,4122.028,-3582.105,,,,,2017-11-29 14:16:24.889
1.313873,-77,233,-2083,5,19,-18,15432.35,703.488,4113.702,-3586.164,,,,,2017-11-29 14:16:24.909
1.333496,-51,229,-2080,6,19,-17,15433.541,705.036,4105.297,-3590.363,,,,,2017-11-29 14:16:24.928
1.353485,-81,233,-2058,6,19,-17,15434.748,706.593,4097.035,-3594.303,,,,,2017-11-29 14:16:24.948
1.373505,-62,246,-2101,6,20,-19,15436.007,708.099,4088.593,-3598.212,378,-258,-179,,2017-11-29 14:16:24.969
1.393494,-61,248,-2075,6,18,-19,15437.236,709.676,4080.124,-3602.24,,,,,2017-11-29 14:16:24.988
1.413849,-46,239,-2081,6,20,-17,15438.514,711.44,4071.86,-3605.762,,,,,2017-11-29 14:16:25.009
1.433472,-35,225,-2109,7,19,-12,15439.701,713.02,4063.628,-3609.653,,,,,2017-11-29 14:16:25.028
1.453461,-46,231,-2059,7,18,-17,15440.9,714.396,4055.256,-3613.663,,,,,2017-11-29 14:16:25.048
1.47345,-48,244,-2072,7,19,-19,15441.982,715.736,4047.247,-3617.754,378,-261,-190,,2017-11-29 14:16:25.068
1.493469,-63,258,-2066,8,16,-20,15443.025,717.155,4039.093,-3622.132,,,,,2017-11-29 14:16:25.088
1.513825,-82,232,-2074,7,18,-22,15444.113,718.674,4030.902,-3626.311,,,,,2017-11-29 14:16:25.109
1.533447,-64,223,-2065,6,19,-17,15445.232,720.311,4022.844,-3630.168,,,,,2017-11-29 14:16:25.128
1.553436,-51,230,-2089,8,17,-17,15446.348,721.854,4014.797,-3634.02,,,,,2017-11-29 14:16:25.148
1.573456,-74,226,-2100,6,19,-18,15447.48,723.332,4006.647,-3637.905,381,-251,-195,,2017-11-29 14:16:25.168
1.593415,-73,237,-2095,6,18,-18,15448.744,724.942,3998.17,-3641.544,,,,,2017-11-29 14:16:25.188
1.6138,-66,240,-2078,6,17,-15,15449.946,726.416,3989.856,-3645.268,,,,,2017-11-29 14:16:25.209
1.633423,-73,238,-2064,5,18,-17,15451.233,728.191,3981.375,-3648.731,,,,,2017-11-29 14:16:25.228
1.653412,-50,214,-2084,5,20,-16,15452.462,729.667,3973.026,-3652.328,,,,,2017-11-29 14:16:25.248
1.673401,-50,231,-2085,5,17,-14,15453.762,731.047,3964.504,-3655.808,392,-261,-186,,2017-11-29 14:16:25.268
1.693421,-6772,453,-453,3,17,-17,15499.616,793.187,3954.27,-3454.265,,,,,2017-11-29 14:16:25.288
1.713806,867,715,-4363,186,-283,2652,15544.38,908.643,3920.166,-3257.969,,,,,2017-11-29 14:16:25.309
1.733399,872,38,-1281,-115,608,1000,15580.281,960.996,3889.809,-3104.214,,,,,2017-11-29 14:16:25.328
1.753418,1061,282,-2084,12,113,918,15607.619,1009.299,3873.061,-2969.576,392,-261,-186,26550,2017-11-29 14:16:25.348
1.773407,612,136,-1876,11,104,771,15625.513,1040.496,3860.636,-2879.52,391,-257,-200,,2017-11-29 14:16:25.368
1.793396,588,146,-2251,11,71,478,15635.31,1055.716,3849.483,-2835.391,,,,,2017-11-29 14:16:25.388
1.813782,-62,259,-2104,5,37,176,15639.017,1060.005,3841.473,-2824.189,,,,,2017-11-29 14:16:25.409
1.833405,-54,260,-2098,9,19,-15,15639.917,1060.731,3834.244,-2828.755,,,,,2017-11-29 14:16:25.428
1.853394,-54,260,-2080,11,18,-22,15640.654,1061.816,3827.618,-2833.244,,,,,2017-11-29 14:16:25.448
1.873383,-51,217,-2078,13,19,-23,15641.379,1062.786,3821.122,-2837.642,394,-260,-194,,2017-11-29 14:16:25.468
1.893372,-57,208,-2072,13,17,-23,15642.06,1063.598,3814.537,-2842.44,,,,,2017-11-29 14:16:25.488
1.913758,-80,245,-2094,11,18,-25,15642.799,1064.243,3807.877,-2847.056,,,,,2017-11-29 14:16:25.509
1.93338,-106,249,-2085,9,16,-25,15643.683,1065.056,3800.746,-2851.418,,,,,2017-11-29 14:16:25.528
1.953369,-63,263,-2097,9,18,-22,15644.581,1066.305,3793.561,-2855.594,,,,,2017-11-29 14:16:25.548
1.973358,-39,222,-2075,11,17,-23,15645.524,1067.235,3786.315,-2859.694,389,-276,-200,,2017-11-29 14:16:25.568
1.993347,-58,234,-2098,9,19,-20,15646.535,1068.081,3779.011,-2863.507,,,,,2017-11-29 14:16:25.588
2.013733,-42,228,-2093,7,17,-19,15647.545,1068.801,3771.657,-2867.408,,,,,2017-11-29 14:16:25.609
2.033325,-51,253,-2065,6,17,-18,15648.581,1069.422,3764.163,-2871.368,,,,,2017-11-29 14:16:25.628
2.053345,-58,248,-2040,7,17,-20,15649.646,1070.161,3756.597,-2875.195,,,,,2017-11-29 14:16:25.648
2.073334,-74,241,-2055,6,17,-18,15650.617,1070.997,3749.164,-2879.296,397,-268,-199,,2017-11-29 14:16:25.668
2.093323,-49,220,-2062,7,18,-20,15651.479,1071.952,3742.058,-2883.496,,,,,2017-11-29 14:16:25.688
2.113709,-51,226,-2078,8,17,-22,15652.459,1072.741,3734.786,-2887.311,,,,,2017-11-29 14:16:25.709
2.133301,-60,258,-2107,6,17,-20,15653.406,1073.513,3727.42,-2891.405,,,,,2017-11-29 14:16:25.728
2.153321,-69,257,-2078,6,17,-19,15654.359,1074.32,3720.017,-2895.478,,,,,2017-11-29 14:16:25.748
2.17331,-61,239,-2113,9,17,-19,15655.361,1075.343,3712.484,-2899.345,391,-290,-191,,2017-11-29 14:16:25.768
2.193299,-61,215,-2083,7,18,-19,15656.377,1076.454,3705.191,-2902.773,,,,,2017-11-29 14:16:25.788
2.213684,-60,215,-2090,7,18,-17,15657.283,1077.404,3698.068,-2906.615,,,,,2017-11-29 14:16:25.809
2.233307,-48,235,-2069,9,18,-18,15658.235,1078.091,3690.651,-2910.66,,,,,2017-11-29 14:16:25.828
2.253296,-75,243,-2090,7,18,-21,15659.253,1078.84,3683.189,-2914.351,391,-290,-191,26546,2017-11-29 14:16:25.848
2.273285,-70,247,-2028,6,17,-18,15660.275,1079.914,3675.553,-2918.1,391,-276,-196,,2017-11-29 14:16:25.868
2.293274,-55,229,-2088,6,18,-19,15661.22,1081.045,3668.32,-2921.709,,,,,2017-11-29 14:16:25.888
2.31366,-62,229,-2132,7,20,-17,15662.247,1082.116,3660.928,-2925.078,,,,,2017-11-29 14:16:25.909
2.333283,-50,228,-2080,6,18,-16,15663.288,1083.042,3653.516,-2928.429,,,,,2017-11-29 14:16:25.928
2.353272,-2335,1113,484,5,18,-16,15628.73,1045.336,3667.963,-3103.475,,,,,2017-11-29 14:16:25.948
2.373261,420,-325,-2313,55,22,-1865,15529.442,887.315,3695.446,-3581.65,389,-269,-196,,2017-11-29 14:16:25.968
2.39325,-1080,-320,-2329,21,-320,-3609,15376.814,730.803,3737.169,-4181.929,,,,,2017-11-29 14:16:25.988
2.413635,1416,-392,-4085,58,-129,-3753,15156.098,515.294,3777.032,-4919.005,,,,,2017-11-29 14:16:26.009
2.433258,-1570,-54,-4941,-1,-314,-5054,14815.477,241.409,3810.246,-5861.808,,,,,2017-11-29 14:16:26.028
2.453247,-49,-138,-3829,12,-108,-6311,14352.626,-125.06,3818.849,-6916.523,,,,,2017-11-29 14:16:26.048
2.473328,-997,1220,-5274,-155,-720,-7522,13633.947,-625.639,3815.522,-8221.995,395,-275,-192,,2017-11-29 14:16:26.068
2.493225,-2837,90,1394,-205,-976,-9802,12581.423,-1232.661,3746.908,-9725.444,,,,,2017-11-29 14:16:26.088
2.513611,-1778,1260,1767,-259,-1177,-11867,11024.993,-1965.346,3606.649,-11402.366,,,,,2017-11-29 14:16:26.109
2.533234,-46,2772,2860,-362,-1522,-14769,9161.07,-2806.743,3479.663,-12826.692,,,,,2017-11-29 14:16:26.128
2.553223,3635,2234,-6066,-265,-1956,-13086,7680.664,-3289.919,3294.173,-13702.833,,,,,2017-11-29 14:16:26.148
2.573212,526,1575,-4339,-110,-1170,-8511,6624.604,-3579.985,3131.616,-14210.092,362,-244,-195,,2017-11-29 14:16:26.168
2.593201,566,157,-501,7,-646,-6068,5883.362,-3763.096,3012.377,-14511.588,,,,,2017-11-29 14:16:26.188
2.613587,817,3872,-12885,7,-403,-4068,5378.798,-3881.719,2930.079,-14691.863,,,,,2017-11-29 14:16:26.209
2.633209,169,232,-683,1,-279,-2658,5064.245,-3945.328,2862.498,-14799.64,,,,,2017-11-29 14:16:26.228
2.653198,-98,827,-2234,6,-138,-1558,4886.339,-3979.74,2825.468,-14857.238,,,,,2017-11-29 14:16:26.248
2.673187,-75,701,-1856,6,-75,-832,4815.57,-3989.492,2802.71,-14882.019,220,-206,-176,,2017-11-29 14:16:26.268
2.693176,-66,219,-2078,10,-9,-251,4806.006,-3985.374,2792.702,-14888.094,,,,,2017-11-29 14:16:26.288
2.713562,-56,257,-2075,8,16,-20,4803.785,-3978.421,2783.467,-14892.399,,,,,2017-11-29 14:16:26.309
2.733185,-60,249,-2089,5,17,-20,4801.308,-3971.255,2774.227,-14896.834,,,,,2017-11-29 14:16:26.328
2.753205,-45,243,-2080,5,16,-21,4798.708,-3964.48,2765.193,-14901.156,220,-206,-176,26607,2017-11-29 14:16:26.348
2.773163,-64,246,-2067,7,15,-23,4795.94,-3957.472,2756.184,-14905.578,138,-250,-189,,2017-11-29 14:16:26.368
2.793183,-48,232,-2088,7,15,-23,4793.279,-3950.455,2747.216,-14909.95,,,,,2017-11-29 14:16:26.388
2.813568,-60,240,-2124,6,17,-22,4790.828,-3943.41,2738.299,-14914.243,,,,,2017-11-29 14:16:26.409
2.833161,-45,250,-2079,8,18,-22,4788.476,-3936.295,2729.136,-14918.556,,,,,2017-11-29 14:16:26.428
2.85315,-58,224,-2064,6,16,-20,4786.196,-3929.107,2720.266,-14922.802,,,,,2017-11-29 14:16:26.448
2.873169,-70,244,-2088,7,16,-19,4784.186,-3921.737,2711.293,-14927.018,120,-258,-192,,2017-11-29 14:16:26.468
2.893158,-60,248,-2081,8,17,-18,4781.992,-3914.56,2702.248,-14931.244,,,,,2017-11-29 14:16:26.488
2.913544,-70,250,-2057,8,18,-19,4779.844,-3907.34,2693.373,-14935.426,,,,,2017-11-29 14:16:26.509
2.933136,-57,251,-2071,7,17,-19,4777.74,-3900.11,2684.417,-14939.601,,,,,2017-11-29 14:16:26.528
2.953125,-58,241,-2072,7,15,-18,4775.605,-3893.011,2675.539,-14943.727,,,,,2017-11-29 14:16:26.548
2.973145,-58,243,-2101,7,17,-20,4773.719,-3885.959,2666.562,-14947.769,121,-260,-198,,2017-11-29 14:16:26.568
2.993134,-47,253,-2075,6,18,-18,4771.654,-3878.788,2657.634,-14951.881,,,,,2017-11-29 14:16:26.588
3.013489,-76,226,-2095,7,19,-17,4769.944,-3871.374,2648.547,-14955.96,,,,,2017-11-29 14:16:26.608
3.033112,-86,229,-2074,7,19,-17,4768.17,-3864.103,2639.671,-14959.974,,,,,2017-11-29 14:16:26.628
3.053101,-71,232,-2078,8,16,-18,4766.081,-3857.012,2630.649,-14964.059,,,,,2017-11-29 14:16:26.648
3.07309,-44,246,-2080,8,19,-19,4764.031,-3849.681,2621.636,-14968.18,125,-263,-190,,2017-11-29 14:16:26.668
3.093109,-51,242,-2064,8,17,-16,4762.317,-3842.537,2612.779,-14972.11,,,,,2017-11-29 14:16:26.688
3.113465,-66,243,-2055,6,18,-16,4760.574,-3835.34,2603.787,-14976.075,,,,,2017-11-29 14:16:26.708
3.133087,-80,241,-2068,7,18,-17,4758.547,-3828.017,2594.941,-14980.128,,,,,2017-11-29 14:16:26.728
3.153076,-167,260,-2025,8,19,-17,4755.065,-3821.103,2585.153,-14984.69,,,,,2017-11-29 14:16:26.748
3.173096,-139,271,-2078,7,15,-51,4748.616,-3814.751,2575.454,-14990.023,132,-261,-186,,2017-11-29 14:16:26.768
3.193085,-914,883,-3493,7,17,-19,4757.968,-3806.217,2565.1,-14991.002,,,,,2017-11-29 14:16:26.788
3.21344,-2901,-359,987,8,33,187,4842.939,-3781.159,2565.442,-14970.061,,,,,2017-11-29 14:16:26.808
3.233063,677,-187,5463,46,56,749,4877.457,-3737.556,2545.877,-14973.144,,,,,2017-11-29 14:16:26.828
3.253052,-1742,-729,-2290,24,-221,-2401,4270.559,-3861.55,2453.323,-15141.578,132,-261,-186,26609,2017-11-29 14:16:26.848
3.273041,-313,-1079,-610,10,-347,-4313,3414.993,-4011.236,2372.577,-15331.475,126,-269,-189,,2017-11-29 14:16:26.868
3.293061,-1919,-382,1013,884,-1344,-4497,2532.453,-4134.076,2349.517,-15472.921,,,,,2017-11-29 14:16:26.888
3.313446,3134,1177,-9366,43,-1039,-4918,1717.644,-4214.737,2301.398,-15569.993,,,,,2017-11-29 14:16:26.908
3.333039,-1073,384,-3111,211,-774,-4379,1080.656,-4267.653,2274.9,-15616.645,,,,,2017-11-29 14:16:26.928
3.353058,3131,751,-4253,202,-716,-3037,671.904,-4300.446,2224.213,-15637.871,,,,,2017-11-29 14:16:26.948
3.373047,-701,5490,-22767,39,238,-1961,453.883,-4377.067,1833.107,-15675.153,121,-245,-198,,2017-11-29 14:16:26.968
