;Title, http://www.gcdataconcepts.com, HAM-IMU, MPU-9250,,,,,,,,,,,,
;Version,1191, Build date, Nov 15 2016,  SN:CCDC30161C28AA2,,,,,,,,,,,
;Start_time, 2018-06-15, 17:42:21.889,2018-06-15 17:42:21.889,,,,,,,,,,,,
;Temperature,-999, deg C,  Vbat,4084, mv,,,,,,,,,,
;MPU SR,200,Hz,  Accel sens,2048,counts/g, Gyro sens,16,counts/dps,  Mag SR,10,Hz,  Mag sens,1666,counts/mT,
;Deadband,0, counts,,,,,,,,,,,,,
;DeadbandTimeout,5,sec,,,,,,,,,,,,,
;Time, Ax, Ay, Az, Gx, Gy, Gz, Qw, Qx, Qy, Qz, Mx, My, Mz, T,Date Time
0.001617,-404,2007,-404,168,12,30,12440.897,4501.724,-9538.05,1555.501,,,,,2018-06-15 17:42:21.891
0.013489,-355,2048,-420,239,-17,49,12466.56,4484.687,-9509.329,1574.974,311,145,151,,2018-06-15 17:42:21.902
0.033478,-449,2022,-431,259,-35,93,12493.035,4462.972,-9479.857,1604.272,,,,,2018-06-15 17:42:21.922
0.053467,-538,1989,-510,281,-27,145,12519.89,4440.268,-9449.959,1634.04,,,,,2018-06-15 17:42:21.942
0.073456,-512,2006,-501,277,-24,128,12547.864,4421.309,-9417.516,1657.996,,,,,2018-06-15 17:42:21.962
0.093445,-436,1996,-516,275,-16,73,12578.587,4408.356,-9379.212,1676.706,,,,,2018-06-15 17:42:21.982
0.113434,-374,1962,-592,305,-35,26,12611.339,4395.455,-9338.51,1691.679,328,149,151,,2018-06-15 17:42:22.002
0.133514,-363,1948,-513,311,-40,20,12644.821,4380.545,-9296.835,1709.86,,,,,2018-06-15 17:42:22.023
0.153412,-407,1964,-540,326,-34,37,12676.992,4364.56,-9257.027,1728.399,,,,,2018-06-15 17:42:22.042
0.173431,-453,1919,-465,314,-36,38,12710.682,4348.558,-9215.591,1742.679,,,,,2018-06-15 17:42:22.062
0.19342,-402,1920,-513,321,-46,17,12746.244,4332.048,-9172.221,1752.832,,,,,2018-06-15 17:42:22.082
0.213379,-425,1899,-613,341,-66,2,12778.734,4316.778,-9132.519,1761.22,322,153,143,,2018-06-15 17:42:22.102
0.233398,-350,1938,-587,292,-65,-3,12810.305,4300.932,-9094.176,1769.024,,,,,2018-06-15 17:42:22.122
0.253387,-313,1937,-549,284,-73,-3,12839.338,4285.32,-9058.908,1777.368,,,,,2018-06-15 17:42:22.142
0.273376,-329,1960,-628,257,-95,3,12865.839,4262.998,-9030.641,1783.253,,,,,2018-06-15 17:42:22.162
0.293365,-389,1998,-571,211,-93,39,12888.727,4235.234,-9010.301,1787.014,,,,,2018-06-15 17:42:22.182
0.313354,-420,1964,-627,162,-144,53,12907.056,4208.845,-8996.444,1786.881,322,136,129,39812,2018-06-15 17:42:22.202
0.333343,-400,1926,-598,120,-132,36,12923.132,4185.749,-8984.77,1783.676,,,,,2018-06-15 17:42:22.222
0.353332,-493,1951,-611,87,-124,16,12933.875,4171.037,-8976.512,1781.849,,,,,2018-06-15 17:42:22.242
0.373321,-442,1986,-642,68,-73,1,12939.577,4164.987,-8971.833,1778.165,,,,,2018-06-15 17:42:22.262
0.393341,-393,1961,-596,21,-18,-22,12942.222,4166.04,-8967.438,1778.621,,,,,2018-06-15 17:42:22.282
0.413299,-445,1956,-609,20,12,-9,12939.732,4172.527,-8966.387,1786.81,329,143,127,,2018-06-15 17:42:22.302
0.433319,-489,1923,-630,2,88,19,12933.807,4184.232,-8966.7,1800.712,,,,,2018-06-15 17:42:22.322
0.453277,-429,1939,-658,-12,131,31,12926.222,4199.732,-8966.699,1819,,,,,2018-06-15 17:42:22.342
0.473266,-382,1938,-651,-11,147,40,12917.89,4216.578,-8966.095,1842.05,,,,,2018-06-15 17:42:22.362
0.493286,-332,1977,-613,-10,164,55,12908.866,4231.063,-8966.859,1868.198,,,,,2018-06-15 17:42:22.382
0.513275,-347,1976,-617,4,148,71,12898.912,4241.744,-8970.077,1897.06,335,120,114,,2018-06-15 17:42:22.402
0.533234,-427,1952,-694,-14,162,108,12887.401,4252.227,-8975.235,1927.188,,,,,2018-06-15 17:42:22.422
0.553253,-415,1995,-754,-26,171,101,12876.423,4263.23,-8980.521,1951.48,,,,,2018-06-15 17:42:22.442
0.573242,-354,1988,-637,-45,129,71,12867.821,4273.813,-8983.287,1972.228,,,,,2018-06-15 17:42:22.462
0.593231,-373,2006,-693,-12,122,58,12859.841,4285.404,-8984.613,1992.978,,,,,2018-06-15 17:42:22.482
0.61322,-365,1985,-662,-10,138,50,12853.828,4296.966,-8983.739,2010.737,334,134,122,,2018-06-15 17:42:22.502
0.633209,-389,1969,-681,-5,111,24,12848.401,4308.373,-8983.663,2021.322,,,,,2018-06-15 17:42:22.522
0.653198,-304,1991,-683,-13,94,-4,12844.303,4318.555,-8982.957,2028.762,,,,,2018-06-15 17:42:22.542
0.673187,-290,2025,-633,-15,78,-2,12839.158,4325.559,-8984.891,2037.822,,,,,2018-06-15 17:42:22.562
0.693176,-352,2012,-667,-25,66,17,12831.927,4330.823,-8990.06,2049.357,,,,,2018-06-15 17:42:22.582
0.713165,-343,1978,-721,-46,79,45,12825.556,4333.912,-8994.945,2061.243,331,129,113,,2018-06-15 17:42:22.602
0.733154,-402,1987,-731,-39,58,46,12820.355,4338.3,-8997.174,2074.595,,,,,2018-06-15 17:42:22.622
0.753143,-292,1962,-707,-15,63,37,12817.415,4342.815,-8996.905,2084.459,,,,,2018-06-15 17:42:22.642
0.773163,-393,1968,-686,-3,40,16,12816.764,4344.387,-8995.444,2091.474,,,,,2018-06-15 17:42:22.662
0.793152,-342,1977,-644,12,34,13,12817.403,4346.059,-8992.64,2096.141,,,,,2018-06-15 17:42:22.682
0.813141,-343,1988,-664,11,12,-5,12816.555,4349.647,-8991.686,2097.973,328,128,125,39777,2018-06-15 17:42:22.702
0.833099,-374,2003,-618,1,33,-20,12815.342,4354.799,-8990.548,2099.576,,,,,2018-06-15 17:42:22.722
0.853119,-396,1983,-630,0,42,-20,12813.707,4359.687,-8989.604,2103.446,,,,,2018-06-15 17:42:22.742
0.873108,-385,1999,-659,-2,40,0,12811.318,4365.077,-8989.105,2108.948,,,,,2018-06-15 17:42:22.762
0.893097,-370,2009,-658,-7,60,3,12807.507,4373.466,-8988.562,2117.009,,,,,2018-06-15 17:42:22.782
0.913086,-324,1985,-716,-4,80,5,12803.82,4383.443,-8986.306,2128.227,340,137,125,,2018-06-15 17:42:22.802
0.933075,-292,1969,-691,1,110,11,12799.507,4392.377,-8985.007,2141.199,,,,,2018-06-15 17:42:22.822
0.953064,-388,2006,-680,-8,88,24,12792.221,4400.863,-8988.045,2154.52,,,,,2018-06-15 17:42:22.842
0.973053,-363,1988,-643,-45,90,33,12783.573,4410.399,-8993.569,2163.28,,,,,2018-06-15 17:42:22.862
0.993042,-263,2038,-649,-59,87,9,12773.15,4422.758,-9000.777,2169.632,,,,,2018-06-15 17:42:22.882
1.013031,-313,1981,-670,-69,85,-8,12762.17,4435.223,-9008.601,2176.313,325,145,128,,2018-06-15 17:42:22.902
1.03302,-380,1944,-652,-75,85,-3,12750.745,4445.747,-9018.54,2180.644,,,,,2018-06-15 17:42:22.922
1.053039,-355,1968,-705,-92,76,2,12738.041,4455.637,-9031.211,2182.26,,,,,2018-06-15 17:42:22.942
1.072998,-271,2008,-575,-116,59,-8,12724.353,4465.651,-9045.454,2182.656,,,,,2018-06-15 17:42:22.962
1.092987,-337,1978,-589,-127,35,-15,12706.8,4479.225,-9062.935,2184.585,,,,,2018-06-15 17:42:22.982
1.113067,-358,1989,-625,-158,94,-3,12685.787,4491.165,-9086.742,2183.299,319,143,124,,2018-06-15 17:42:23.002
1.132995,-364,2018,-623,-212,76,-5,12659.81,4503.991,-9117.013,2181.467,,,,,2018-06-15 17:42:23.022
1.152954,-282,2030,-526,-249,87,19,12630.703,4513.96,-9153.112,2178.41,,,,,2018-06-15 17:42:23.042
1.172943,-325,1998,-498,-287,32,25,12597.681,4523.079,-9195.064,2174.035,,,,,2018-06-15 17:42:23.062
1.192963,-349,1980,-513,-318,27,31,12560.06,4533.979,-9242.414,2168.208,,,,,2018-06-15 17:42:23.082
1.212952,-388,1953,-510,-366,36,34,12518.83,4546.388,-9294.254,2159.055,326,139,131,,2018-06-15 17:42:23.102
1.232941,-300,2022,-483,-399,63,18,12475.687,4557.443,-9349.503,2146.897,,,,,2018-06-15 17:42:23.122
1.25293,-348,1950,-363,-419,30,12,12430.746,4566.183,-9408.046,2133.219,,,,,2018-06-15 17:42:23.142
1.272919,-391,1963,-424,-432,1,33,12384.518,4571.696,-9470.021,2115.995,,,,,2018-06-15 17:42:23.162
1.292908,-311,2025,-417,-459,2,38,12338.329,4576.559,-9532.304,2095.554,,,,,2018-06-15 17:42:23.182
1.312897,-297,1989,-391,-465,-26,20,12293.195,4578.693,-9593.984,2074.567,322,134,134,39790,2018-06-15 17:42:23.202
1.332886,-311,2012,-387,-454,-32,26,12249.01,4578.62,-9654.5,2055.249,,,,,2018-06-15 17:42:23.222
1.352936,-312,1994,-316,-442,-43,42,12205.607,4574.221,-9714.939,2038.393,,,,,2018-06-15 17:42:23.242
1.372864,-270,2014,-278,-427,-61,61,12165.05,4569.784,-9771.386,2020.913,,,,,2018-06-15 17:42:23.262
1.392883,-306,2008,-357,-397,-55,44,12125.543,4559.844,-9827.66,2007.878,,,,,2018-06-15 17:42:23.282
1.412842,-354,2017,-388,-374,-77,88,12090.141,4547.353,-9878.936,1998.026,324,148,145,,2018-06-15 17:42:23.302
1.432831,-492,1992,-372,-342,-52,117,12055.421,4537.535,-9926.047,1996.656,,,,,2018-06-15 17:42:23.322
1.45285,-397,1987,-374,-313,-40,104,12027.516,4527.369,-9966.336,1987.297,,,,,2018-06-15 17:42:23.342
1.472839,-306,2074,-209,-276,-44,51,12002.541,4523.3,-10000.055,1978.154,,,,,2018-06-15 17:42:23.362
1.492828,-395,2097,-238,-223,-47,27,11977.212,4522.748,-10031.566,1973.39,,,,,2018-06-15 17:42:23.382
1.512817,-407,2064,-249,-220,36,44,11952.405,4525.833,-10059.36,1975.235,320,145,154,,2018-06-15 17:42:23.402
1.532806,-313,2046,-340,-194,90,53,11927.507,4532.858,-10084.437,1981.75,,,,,2018-06-15 17:42:23.422
1.552795,-333,2056,-224,-186,96,53,11905.61,4539.449,-10105.672,1990.148,,,,,2018-06-15 17:42:23.442
1.572784,-402,2091,-292,-164,90,49,11883.937,4549.871,-10124.564,1999.838,,,,,2018-06-15 17:42:23.462
1.592773,-374,2077,-278,-146,96,28,11865.952,4561.492,-10139.433,2004.82,,,,,2018-06-15 17:42:23.482
1.612762,-295,2052,-230,-124,55,-3,11849.795,4573.473,-10151.963,2009.674,319,155,171,,2018-06-15 17:42:23.502
1.632751,-223,2084,-194,-97,88,4,11836.6,4579.207,-10162.674,2020.212,,,,,2018-06-15 17:42:23.522
1.65274,-250,2176,-303,-86,69,57,11822.07,4577.632,-10176.63,2038.523,,,,,2018-06-15 17:42:23.542
1.67276,-231,2059,-293,-64,63,126,11806.6,4570.989,-10192.691,2062.697,,,,,2018-06-15 17:42:23.562
1.692718,-268,2041,-255,-81,54,161,11793.462,4559.938,-10207.514,2088.856,,,,,2018-06-15 17:42:23.582
1.712738,-291,2033,-236,-53,65,174,11783.505,4548.077,-10218.218,2118.359,324,158,178,,2018-06-15 17:42:23.602
1.732696,-286,2030,-225,-18,63,178,11775.16,4536.428,-10226.728,2148.464,,,,,2018-06-15 17:42:23.622
1.752716,-309,2034,-211,-8,72,174,11769.045,4526.961,-10231.799,2177.595,,,,,2018-06-15 17:42:23.642
1.772705,-272,2017,-247,14,80,152,11764.937,4521.772,-10232.367,2207.701,,,,,2018-06-15 17:42:23.662
1.792694,-231,2007,-252,47,99,128,11764.826,4517.157,-10228.608,2234.985,,,,,2018-06-15 17:42:23.682
1.812683,-281,2000,-198,66,86,110,11765.469,4514.816,-10222.273,2265.113,329,160,183,39781,2018-06-15 17:42:23.702
1.832672,-303,2055,-273,77,100,108,11765.274,4516.203,-10215.328,2294.5,,,,,2018-06-15 17:42:23.722
1.852661,-247,2089,-237,71,123,92,11764.691,4523.445,-10205.868,2325.117,,,,,2018-06-15 17:42:23.742
1.87265,-244,2038,-217,69,152,73,11762.705,4533.857,-10195.863,2358.544,,,,,2018-06-15 17:42:23.762
1.892639,-150,2096,-231,67,172,75,11757.268,4548.038,-10187.787,2392.997,,,,,2018-06-15 17:42:23.782
1.912628,-265,2083,-172,45,207,67,11749.09,4565.572,-10181.141,2427.802,336,163,192,,2018-06-15 17:42:23.802
1.932617,-278,2058,-238,29,214,57,11738.547,4587.353,-10175.98,2459.179,,,,,2018-06-15 17:42:23.822
1.952606,-220,2071,-230,1,235,33,11725.554,4614.795,-10171.301,2489.002,,,,,2018-06-15 17:42:23.842
1.972595,-261,2037,-225,-20,250,13,11710.676,4645.258,-10167.456,2517.918,,,,,2018-06-15 17:42:23.862
1.992584,-273,2029,-236,-26,261,2,11695.104,4677.699,-10163.882,2544.525,,,,,2018-06-15 17:42:23.882
2.012573,-240,2049,-228,-28,261,-14,11680.315,4713.548,-10157.554,2571.424,333,159,186,,2018-06-15 17:42:23.902
2.032593,-379,2143,-238,-18,277,-31,11668.787,4749.207,-10145.851,2604.145,,,,,2018-06-15 17:42:23.922
2.052582,-386,2023,-199,55,310,12,11653.499,4795.097,-10134.342,2633.162,,,,,2018-06-15 17:42:23.942
2.072571,-361,2015,-241,0,326,-69,11638.875,4846.216,-10120.411,2657.723,,,,,2018-06-15 17:42:23.962
2.09256,-281,2068,-222,-15,350,-110,11624.386,4901.191,-10104.37,2681.251,,,,,2018-06-15 17:42:23.982
2.11261,-304,2119,-267,-3,353,-118,11607.463,4957.049,-10088.845,2710.184,345,174,193,,2018-06-15 17:42:24.002
2.132538,-303,2088,-147,-14,384,-82,11588.59,5012.155,-10073.499,2746.44,,,,,2018-06-15 17:42:24.022
2.152527,-357,2159,-197,4,420,-52,11572.142,5061.097,-10055.554,2791.43,,,,,2018-06-15 17:42:24.042
2.172516,-314,2057,-271,93,394,22,11557.611,5111.813,-10032.126,2843.037,,,,,2018-06-15 17:42:24.062
2.192505,-250,2006,-300,86,426,-10,11548.308,5159.087,-10003.439,2896.039,,,,,2018-06-15 17:42:24.082
2.212494,-196,1995,-289,148,423,3,11545.151,5199.711,-9969.523,2952.381,343,163,190,,2018-06-15 17:42:24.101
2.232483,-241,1997,-293,203,398,23,11546.72,5232.702,-9933.48,3008.902,,,,,2018-06-15 17:42:24.121
2.252472,-233,1992,-272,220,356,44,11551.796,5257.906,-9896.665,3066.25,,,,,2018-06-15 17:42:24.141
2.272461,-247,1978,-265,243,320,72,11559.184,5276.23,-9860.185,3123.913,,,,,2018-06-15 17:42:24.161
2.29245,-194,1960,-267,264,287,90,11568.369,5288.828,-9824.791,3179.628,,,,,2018-06-15 17:42:24.181
2.312439,-210,1985,-286,262,256,99,11577.75,5299.462,-9789.529,3236.039,330,169,193,39777,2018-06-15 17:42:24.201
2.332428,-248,2014,-258,258,244,106,11585.299,5307.404,-9757.85,3291.215,,,,,2018-06-15 17:42:24.221
2.352417,-211,2013,-180,236,238,125,11589.489,5313.327,-9731.552,3344.343,,,,,2018-06-15 17:42:24.241
2.372436,-224,2066,-145,190,214,134,11586.841,5319.085,-9713.123,3397.517,,,,,2018-06-15 17:42:24.261
2.392425,-267,2070,-93,132,243,163,11575.299,5328.389,-9703.829,3448.459,,,,,2018-06-15 17:42:24.281
2.412414,-185,2123,-128,60,242,156,11556.839,5341.448,-9702.428,3493.81,337,157,200,,2018-06-15 17:42:24.301
2.432403,-245,2130,-142,-16,245,150,11531.194,5357.227,-9708.01,3538.594,,,,,2018-06-15 17:42:24.321
2.452362,-232,2088,-159,-67,261,165,11500.248,5375.135,-9719.116,3581.403,,,,,2018-06-15 17:42:24.341
2.472381,-228,2091,-215,-98,268,165,11467.774,5394.08,-9731.456,3623.293,,,,,2018-06-15 17:42:24.361
2.49237,-218,2099,-209,-108,256,156,11437.222,5410.739,-9742.548,3664.974,,,,,2018-06-15 17:42:24.381
2.512359,-219,2097,-199,-80,246,163,11409.402,5424.354,-9751.399,3707.771,335,162,200,,2018-06-15 17:42:24.401
2.532379,-168,2083,-259,-51,239,170,11384.558,5435.97,-9756.96,3752.229,,,,,2018-06-15 17:42:24.421
2.552338,-183,2051,-278,-36,237,174,11363.227,5445.2,-9758.552,3799.071,,,,,2018-06-15 17:42:24.441
2.572388,-115,2063,-272,4,236,178,11346.831,5452.104,-9754.244,3848.915,,,,,2018-06-15 17:42:24.461
2.592316,-101,2076,-246,45,229,178,11333.502,5455.497,-9747.052,3901.239,,,,,2018-06-15 17:42:24.481
2.612305,-114,2098,-222,88,229,194,11322.864,5457.387,-9736.568,3955.293,331,172,192,,2018-06-15 17:42:24.501
2.632294,-177,2063,-299,110,233,187,11312.47,5462.448,-9724.008,4008.587,,,,,2018-06-15 17:42:24.521
2.652283,-221,2075,-215,104,245,165,11303.349,5473.489,-9707.966,4057.838,,,,,2018-06-15 17:42:24.541
