;Title, http://www.gcdataconcepts.com, HAM-IMU+alt, MPU9250 BMP280,,,,,,,,,,,,,
;Version,1379, Build date, Jan 12 2018,  SN:CCDC50029F4C138,,,,,,,,,,,,
;Start_time, 2018-06-16, 09:03:47.967,2018-06-16 09:03:47.967,,,,,,,,,,,,,
;Temperature,-999, deg C,  Vbat,3476, mv,,,,,,,,,,,
;MPU SR,200,Hz,  Accel sens,2048,counts/g, Gyro sens,16,counts/dps,  Mag SR,10,Hz,  Mag sens,1666,counts/mT,,
;BMP280 SI,0.5,s ,,,,,,,,,,,,,,
;Deadband,0, counts,,,,,,,,,,,,,,
;DeadbandTimeout,5,sec,,,,,,,,,,,,,,
;Time, Ax, Ay, Az, Gx, Gy, Gz, Qw, Qx, Qy, Qz, Mx, My, Mz, P, T,Date Time
0.010315,258,2054,65,-2,-1,0,-9235.152,-5661.491,10309.237,-6694.367,,,,,,2018-06-16 09:03:47.977
0.013093,244,2038,51,-2,-2,0,-9235.128,-5661.551,10309.176,-6694.443,198,-277,-320,,,2018-06-16 09:03:47.980
0.033051,258,2033,71,0,0,0,-9235.268,-5661.6,10309.096,-6694.331,,,,,,2018-06-16 09:03:48.000
0.053071,268,2054,56,0,0,0,-9235.101,-5661.724,10309.232,-6694.247,,,,,,2018-06-16 09:03:48.020
0.07306,252,2057,53,-2,-1,-2,-9235.022,-5661.529,10309.407,-6694.252,,,,,,2018-06-16 09:03:48.040
0.093018,258,2058,62,-1,-1,0,-9234.991,-5661.444,10309.572,-6694.113,,,,,,2018-06-16 09:03:48.060
0.113038,259,2051,51,-2,-2,0,-9234.991,-5661.465,10309.645,-6693.983,198,-277,-320,,,2018-06-16 09:03:48.080
0.132996,261,2030,70,-2,-2,1,-9234.966,-5661.506,10309.649,-6693.975,,,,,,2018-06-16 09:03:48.100
0.152985,253,2062,58,-3,-1,2,-9234.994,-5661.524,10309.677,-6693.879,198,-277,-320,100067,28660,2018-06-16 09:03:48.120
0.172974,246,2035,66,-1,-1,-2,-9234.868,-5661.51,10309.772,-6693.919,,,,,,2018-06-16 09:03:48.140
0.192963,273,2045,75,-1,-1,0,-9234.942,-5661.406,10309.716,-6693.99,,,,,,2018-06-16 09:03:48.160
0.212952,226,2051,67,-1,-2,0,-9234.832,-5661.343,10309.797,-6694.071,204,-280,-321,,,2018-06-16 09:03:48.180
0.232941,265,2040,86,1,0,0,-9234.842,-5661.501,10309.775,-6693.957,,,,,,2018-06-16 09:03:48.200
0.25293,249,2057,65,-1,-1,-2,-9234.861,-5661.66,10309.714,-6693.891,,,,,,2018-06-16 09:03:48.220
